iter	RMSE
0	14.92613752
1	14.74259423
2	14.5541289
3	14.36149357
4	14.18974015
5	14.02977414
6	13.85121376
7	13.67787208
8	13.51691628
9	13.34283381
10	13.16791952
11	13.00591232
12	12.87021848
13	12.70668479
14	12.60236295
15	12.45541164
16	12.33144601
17	12.22544567
18	12.10471698
19	11.98276046
20	11.85189516
21	11.71853193
22	11.59018182
23	11.4818283
24	11.35748487
25	11.2317822
26	11.10430192
27	10.99816964
28	10.8808278
29	10.78063495
30	10.68906586
31	10.59398375
32	10.48674767
33	10.39914808
34	10.29605411
35	10.20272046
36	10.10799331
37	10.00601052
38	9.902125037
39	9.823577699
40	9.731290186
41	9.632463323
42	9.557916713
43	9.477473898
44	9.385406883
45	9.30474523
46	9.222311448
47	9.150517057
48	9.070390348
49	9.002280322
50	8.933792448
51	8.856661583
52	8.78037035
53	8.708907125
54	8.633477048
55	8.571485091
56	8.506289937
57	8.43950169
58	8.371481868
59	8.304044395
60	8.241555864
61	8.17507659
62	8.116431238
63	8.05777665
64	8.010068721
65	7.959752243
66	7.917111473
67	7.867120526
68	7.824214249
69	7.769878226
70	7.726423717
71	7.676441172
72	7.626693099
73	7.583665341
74	7.540367887
75	7.492523981
76	7.450443582
77	7.409261331
78	7.371616892
79	7.328925169
80	7.288553059
81	7.244738133
82	7.204528864
83	7.161490107
84	7.126508574
85	7.091089968
86	7.052005988
87	7.012952994
88	6.983055071
89	6.951345297
90	6.914411084
91	6.885440583
92	6.854447954
93	6.82238805
94	6.79510603
95	6.769191477
96	6.735738733
97	6.708456437
98	6.677069521
99	6.647190161
100	6.617118923
101	6.598843526
102	6.57135879
103	6.545111591
104	6.516090458
105	6.499167883
106	6.475604507
107	6.45450393
108	6.436437417
109	6.413334514
110	6.388901748
111	6.365174523
112	6.348078562
113	6.331908388
114	6.3110259
115	6.290304432
116	6.275259625
117	6.261411661
118	6.240548736
119	6.223660754
120	6.207160599
121	6.193389883
122	6.182898421
123	6.167350752
124	6.151979891
125	6.137024834
126	6.119131161
127	6.101801189
128	6.086369374
129	6.070867546
130	6.055263189
131	6.041076668
132	6.02660924
133	6.011459065
134	5.999472065
135	5.987476786
136	5.973042165
137	5.960726419
138	5.948718758
139	5.933602518
140	5.922127815
141	5.907550472
142	5.895053397
143	5.884490224
144	5.875865312
145	5.862564803
146	5.849816525
147	5.837727489
148	5.827778533
149	5.820198648
150	5.812294019
151	5.80242141
152	5.792735654
153	5.783991901
154	5.772886396
155	5.762844828
156	5.755423172
157	5.747845674
158	5.73790662
159	5.728229384
160	5.718763736
161	5.711024099
162	5.701847092
163	5.694590831
164	5.685048662
165	5.678044048
166	5.67139686
167	5.664334578
168	5.657645623
169	5.650278771
170	5.643376002
171	5.637973815
172	5.632252237
173	5.626135513
174	5.620233158
175	5.614327084
176	5.607756876
177	5.602550453
178	5.597891065
179	5.589945912
180	5.583314374
181	5.576374125
182	5.570750986
183	5.565194085
184	5.562067331
185	5.556483769
186	5.55104282
187	5.544446571
188	5.539840469
189	5.536235018
190	5.531715726
191	5.525362653
192	5.519966806
193	5.512830026
194	5.50655637
195	5.50179997
196	5.495143385
197	5.489893405
198	5.485897559
199	5.481121072
200	5.476122705
201	5.471651657
202	5.467888434
203	5.462014707
204	5.458383037
205	5.453943839
206	5.447985472
207	5.442999505
208	5.439109616
209	5.434621532
210	5.43216166
211	5.429087181
212	5.423570274
213	5.420552822
214	5.416279714
215	5.409799106
216	5.406276512
217	5.402955779
218	5.398855929
219	5.395726189
220	5.392972608
221	5.389853739
222	5.384850626
223	5.382656396
224	5.379290266
225	5.376936643
226	5.374626642
227	5.36981075
228	5.365066607
229	5.360111135
230	5.357337741
231	5.354065231
232	5.351602082
233	5.348236168
234	5.345002686
235	5.342299979
236	5.34117698
237	5.336888132
238	5.334704298
239	5.33084037
240	5.328658417
241	5.325064644
242	5.321235617
243	5.319801072
244	5.31744335
245	5.314146163
246	5.310591149
247	5.306724198
248	5.303132803
249	5.302094566
250	5.297973419
251	5.295033495
252	5.292347739
253	5.289758221
254	5.285863107
255	5.28264721
256	5.280086013
257	5.278381742
258	5.274211718
259	5.272150652
260	5.269843511
261	5.267612893
262	5.265109693
263	5.263265672
264	5.259340347
265	5.257613247
266	5.255878009
267	5.250914863
268	5.248767028
269	5.246941227
270	5.245682647
271	5.243365652
272	5.240916762
273	5.238933035
274	5.236327257
275	5.234734685
276	5.229670669
277	5.225706049
278	5.224748873
279	5.223559583
280	5.221637643
281	5.219236388
282	5.217469994
283	5.215758031
284	5.213829753
285	5.211689384
286	5.210540543
287	5.208628271
288	5.206685876
289	5.204127578
290	5.201388835
291	5.198265824
292	5.194158048
293	5.189832794
294	5.188790757
295	5.186923734
296	5.184126779
297	5.182345273
298	5.179459001
299	5.177472738
300	5.174693144
301	5.174249418
302	5.170917514
303	5.167958225
304	5.164810662
305	5.162199242
306	5.160081522
307	5.158340855
308	5.155637213
309	5.154352617
310	5.153579329
311	5.152286371
312	5.149684297
313	5.148280985
314	5.146622981
315	5.144729809
316	5.142251902
317	5.14029613
318	5.139380396
319	5.137221019
320	5.135595112
321	5.133888674
322	5.13274322
323	5.132048481
324	5.129823913
325	5.128200214
326	5.126679194
327	5.125609078
328	5.123572002
329	5.122226973
330	5.118656083
331	5.117694723
332	5.115657752
333	5.113962187
334	5.112092681
335	5.109961339
336	5.108741916
337	5.106387821
338	5.104909254
339	5.103041098
340	5.101428244
341	5.099832781
342	5.096506499
343	5.095197349
344	5.093501461
345	5.092192552
346	5.090245639
347	5.088184755
348	5.086191491
349	5.084800757
350	5.082808752
351	5.082111475
352	5.080882028
353	5.079051476
354	5.077775876
355	5.075568644
356	5.073958738
357	5.072869148
358	5.069144526
359	5.068183802
360	5.067078297
361	5.065856266
362	5.064186165
363	5.06325558
364	5.06216619
365	5.061061255
366	5.059934031
367	5.059005484
368	5.05742438
369	5.056220232
370	5.054575739
371	5.053691008
372	5.050895325
373	5.049966957
374	5.048036617
375	5.046203701
376	5.044665535
377	5.042849501
378	5.041188693
379	5.037461164
380	5.034515635
381	5.033387183
382	5.032410115
383	5.031166597
384	5.030323269
