iter	Passed	Remaining
0	1	395
1	1	231
2	1	172
3	1	140
4	1	119
5	1	109
6	1	99
7	1	91
8	2	85
9	2	80
10	2	78
11	2	76
12	2	74
13	2	71
14	2	69
15	2	66
16	3	65
17	3	63
18	3	61
19	3	59
20	3	58
21	3	57
22	3	56
23	3	55
24	3	54
25	3	53
26	3	53
27	4	52
28	4	51
29	4	51
30	4	50
31	4	49
32	4	49
33	4	48
34	4	48
35	4	47
36	5	47
37	5	46
38	5	46
39	5	45
40	5	45
41	5	44
42	5	44
43	5	44
44	5	43
45	5	43
46	6	43
47	6	42
48	6	42
49	6	42
50	6	41
51	6	41
52	6	41
53	6	40
54	6	40
55	6	40
56	6	39
57	7	39
58	7	39
59	7	39
60	7	39
61	7	39
62	7	38
63	7	38
64	7	38
65	7	38
66	8	37
67	8	37
68	8	37
69	8	37
70	8	37
71	8	36
72	8	36
73	8	36
74	8	36
75	8	35
76	8	35
77	9	35
78	9	35
79	9	35
80	9	35
81	9	34
82	9	34
83	9	34
84	9	34
85	9	34
86	9	33
87	10	33
88	10	33
89	10	33
90	10	33
91	10	33
92	10	33
93	10	33
94	10	33
95	11	33
96	11	33
97	11	33
98	11	33
99	11	32
100	11	32
101	11	32
102	11	32
103	12	32
104	12	32
105	12	32
106	12	32
107	12	32
108	12	32
109	12	32
110	12	31
111	13	31
112	13	31
113	13	31
114	13	31
115	13	31
116	13	31
117	13	31
118	13	31
119	14	31
120	14	30
121	14	30
122	14	30
123	14	30
124	14	30
125	14	30
126	15	30
127	15	30
128	15	30
129	15	30
130	15	29
131	15	29
132	15	29
133	15	29
134	15	29
135	15	29
136	16	29
137	16	29
138	16	28
139	16	28
140	16	28
141	16	28
142	16	28
143	16	28
144	16	28
145	17	27
146	17	27
147	17	27
148	17	27
149	17	27
150	17	27
151	17	27
152	17	27
153	18	27
154	18	26
155	18	26
156	18	26
157	18	26
158	18	26
159	18	26
160	18	25
161	18	25
162	18	25
163	18	25
164	19	25
165	19	25
166	19	25
167	19	25
168	19	24
169	19	24
170	19	24
171	19	24
172	19	24
173	20	24
174	20	24
175	20	24
176	20	23
177	20	23
178	20	23
179	20	23
180	20	23
181	21	23
182	21	23
183	21	23
184	21	23
185	21	23
186	21	23
187	21	22
188	22	22
189	22	22
190	22	22
191	22	22
192	22	22
193	22	22
194	22	22
195	22	22
196	22	21
197	23	21
198	23	21
199	23	21
200	23	21
201	23	21
202	23	21
203	23	21
204	23	20
205	23	20
206	24	20
207	24	20
208	24	20
209	24	20
210	24	20
211	24	19
212	24	19
213	24	19
214	24	19
215	24	19
216	24	19
217	25	19
218	25	19
219	25	18
220	25	18
221	25	18
222	25	18
223	25	18
224	25	18
225	25	18
226	26	18
227	26	18
228	26	17
229	26	17
230	26	17
231	26	17
232	26	17
233	26	17
234	26	17
235	27	17
236	27	16
237	27	16
238	27	16
239	27	16
240	27	16
241	27	16
242	27	16
243	27	16
244	27	15
245	28	15
246	28	15
247	28	15
248	28	15
249	28	15
250	28	15
251	28	15
252	28	15
253	28	14
254	29	14
255	29	14
256	29	14
257	29	14
258	29	14
259	29	14
260	29	14
261	29	14
262	30	13
263	30	13
264	30	13
265	30	13
266	30	13
267	30	13
268	30	13
269	30	13
270	31	13
271	31	13
272	31	12
273	31	12
274	31	12
275	31	12
276	31	12
277	31	12
278	32	12
279	32	12
280	32	11
281	32	11
282	32	11
283	32	11
284	32	11
285	32	11
286	32	11
287	33	11
288	33	11
289	33	10
290	33	10
291	33	10
292	33	10
293	33	10
294	33	10
295	33	10
296	34	10
297	34	9
298	34	9
299	34	9
300	34	9
301	34	9
302	34	9
303	34	9
304	34	9
305	34	9
306	34	8
307	35	8
308	35	8
309	35	8
310	35	8
311	35	8
312	35	8
313	35	8
314	35	7
315	36	7
316	36	7
317	36	7
318	36	7
319	36	7
320	36	7
321	36	7
322	36	7
323	36	6
324	37	6
325	37	6
326	37	6
327	37	6
328	37	6
329	37	6
330	37	6
331	37	6
332	37	5
333	38	5
334	38	5
335	38	5
336	38	5
337	38	5
338	38	5
339	38	5
340	38	4
341	38	4
342	38	4
343	39	4
344	39	4
345	39	4
346	39	4
347	39	4
348	39	4
349	39	3
350	39	3
351	39	3
352	40	3
353	40	3
354	40	3
355	40	3
356	40	3
357	40	3
358	40	2
359	40	2
360	40	2
361	40	2
362	41	2
363	41	2
364	41	2
365	41	2
366	41	2
367	41	1
368	41	1
369	41	1
370	41	1
371	41	1
372	42	1
373	42	1
374	42	1
375	42	1
376	42	0
377	42	0
378	42	0
379	42	0
380	42	0
381	42	0
382	43	0
383	43	0
384	43	0
